CLIENTNUM,Attrition_Flag,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Total_Relationship_Count,Months_Inactive_12_mon,Avg_Utilization_Ratio,Total_Ct_Chng_Q4_Q1,Total_Amt_Chng_Q4_Q1,Contact_Level,Customer_Age_Group,Tenure_Group,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Trans_Amt,Total_Trans_Ct,Debt_Adjusted_Availability,Recent_Engagement_Index,Engagement_Momentum_Score,Activity_Engagement_Score,Inactivity_Risk_Index,Credit_Stress_Score
768805383,Existing Customer,M,3,High School,Married,$60K - $80K,Blue,5,1,0.061,1.167,1.2404399999999987,Medio,31–45,37–48 meses,0.5857743317961113,-0.47342221766272585,0.6353964234631556,-1.2672568209279276,-0.973895181755695,-0.4445434623852996,-2.110430858864591,-4.7282937134345815,-4.869475908778475,38.307104483217735,0.03846701184203743
818770008,Existing Customer,F,5,University Professionals,Single,Less than $40K,Blue,6,1,0.105,1.167,1.2404399999999987,Bajo,46–60,37–48 meses,0.01614092657531042,-0.3666668215917064,0.054553075519451204,-1.2017399660802728,-1.357340378311742,-0.3281668053245772,-2.9413565998015443,-6.589932980459368,-8.144042269870452,-2.7984522900113045,0.10333212377724064
713982108,Existing Customer,M,3,University Professionals,Married,$80K - $120K,Blue,4,1,0.0,1.167,1.2404399999999987,Sin contacto,46–60,25–36 meses,-0.6052539808560842,-1.4268583411935547,-0.45590058762258356,-0.9361070035686924,-1.9112056622260318,-1.4268583411935547,-4.14158267004381,-9.278967477272948,-7.644822648904127,-1.097447087364501,0.0
769911858,Existing Customer,F,4,High School,Unknown,Less than $40K,Blue,3,4,0.76,1.167,1.2404399999999987,Bajo,31–45,25–36 meses,-0.6187402283303083,1.6616857037576631,-0.7926921086991853,-1.255223112894685,-1.9112056622260318,0.39880456890183913,-4.14158267004381,-9.278967477272948,-5.733616986678095,-4.389788349458004,1.993391531111847
709106358,Existing Customer,M,3,Uneducated,Married,$60K - $80K,Blue,5,1,0.0,1.167,1.2404399999999987,Sin contacto,31–45,0–24 meses,-0.43853827398424655,-1.4268583411935547,-0.28917465537337345,-1.3897064855595243,-1.5703654875095456,-1.4268583411935547,-3.4029820114331852,-7.624177017695361,-7.851827437547728,-1.7532617626750497,0.0
713061558,Existing Customer,M,2,University Professionals,Married,$40K - $60K,Blue,3,1,0.311,0.846,1.2404399999999987,Bajo,31–45,25–36 meses,-0.5292172331918871,0.10330233582439073,-0.540034243726769,-1.2922156227746533,-1.7407855748677887,0.07117530938300522,-3.213490171205938,-7.199631919176627,-5.222356724603366,-1.349918294748753,0.6606019207299509
810347208,Existing Customer,M,4,Unknown,Married,$120K +,Gold,6,1,0.066,0.722,1.2404399999999987,Medio,46–60,37–48 meses,2.3825791929000295,1.3512361036890663,2.3777980189643397,-1.1843579433655886,-1.4425504219908634,1.2620545208455878,-2.484071826668267,-5.565413883340648,-8.65530253194518,-2.259629525380151,0.019511738302693035
818906208,Existing Customer,M,0,High School,Unknown,$60K - $80K,Silver,2,2,0.048,0.714,1.2404399999999987,Bajo,31–45,25–36 meses,2.3825791929000295,0.28613629001498725,2.3777980189643397,-1.0916538222206076,-1.2295253127930597,0.27240174809426787,-2.107406386127304,-4.721517563735055,-2.4590506255861193,-8.713635875983766,0.014190355129231298
710930508,Existing Customer,M,3,Uneducated,Single,$60K - $80K,Blue,5,2,0.113,1.167,1.2404399999999987,Sin contacto,31–45,25–36 meses,1.8266375398768684,1.6616857037576631,1.6528356448391135,-1.1754440855631867,-1.7407855748677887,1.4739152192330471,-3.772282340738498,-8.451572247484155,-8.703927874338945,-2.699836589497506,0.03997682702711237
719661558,Existing Customer,M,2,University Professionals,Single,$80K - $120K,Blue,6,3,0.144,0.882,1.2404399999999987,Medio,46–60,25–36 meses,0.45283846383590187,0.6309439485891996,0.386848905048501,-1.1348860325622574,-1.3999454001513025,0.5400880199923548,-2.6346972430847515,-5.9028810912967975,-8.399672400907814,-7.501023886923255,0.09911631856152783
